,Exercise,Month,Performance
0,Chin-up,Jan,0.0
1,Chin-up,Feb,0.0
2,Chin-up,Mar,0.0
3,Chin-up,Apr,0.0
4,Chin-up,May,0.0
5,Chin-up,Jun,0.0
6,Chin-up,Jul,0.0
7,Chin-up,Aug,0.0
8,Chin-up,Sep,20.299999999999997
9,Chin-up,Oct,20.5
10,Chin-up,Nov,21.0
11,Chin-up,Dec,0.0
12,Dips,Jan,0.0
13,Dips,Feb,0.0
14,Dips,Mar,0.0
15,Dips,Apr,0.0
16,Dips,May,0.0
17,Dips,Jun,0.0
18,Dips,Jul,0.0
19,Dips,Aug,0.0
20,Dips,Sep,42.0
21,Dips,Oct,22.0
22,Dips,Nov,21.0
23,Dips,Dec,0.0
24,Hang dip,Jan,0.0
25,Hang dip,Feb,0.0
26,Hang dip,Mar,0.0
27,Hang dip,Apr,0.0
28,Hang dip,May,0.0
29,Hang dip,Jun,0.0
30,Hang dip,Jul,0.0
31,Hang dip,Aug,0.0
32,Hang dip,Sep,47.5
33,Hang dip,Oct,42.0
34,Hang dip,Nov,30.0
35,Hang dip,Dec,0.0
36,Hang pull-up,Jan,0.0
37,Hang pull-up,Feb,0.0
38,Hang pull-up,Mar,0.0
39,Hang pull-up,Apr,0.0
40,Hang pull-up,May,0.0
41,Hang pull-up,Jun,0.0
42,Hang pull-up,Jul,0.0
43,Hang pull-up,Aug,0.0
44,Hang pull-up,Sep,113.39999999999999
45,Hang pull-up,Oct,50.0
46,Hang pull-up,Nov,53.0
47,Hang pull-up,Dec,0.0
48,Lounges,Jan,0.0
49,Lounges,Feb,0.0
50,Lounges,Mar,0.0
51,Lounges,Apr,0.0
52,Lounges,May,0.0
53,Lounges,Jun,0.0
54,Lounges,Jul,0.0
55,Lounges,Aug,0.0
56,Lounges,Sep,2.0999999999999996
57,Lounges,Oct,2.0
58,Lounges,Nov,6.0
59,Lounges,Dec,0.0
60,Pull-up / Rows,Jan,0.0
61,Pull-up / Rows,Feb,0.0
62,Pull-up / Rows,Mar,0.0
63,Pull-up / Rows,Apr,0.0
64,Pull-up / Rows,May,0.0
65,Pull-up / Rows,Jun,0.0
66,Pull-up / Rows,Jul,0.0
67,Pull-up / Rows,Aug,0.0
68,Pull-up / Rows,Sep,31.0
69,Pull-up / Rows,Oct,19.0
70,Pull-up / Rows,Nov,20.0
71,Pull-up / Rows,Dec,0.0
72,Push-up,Jan,0.0
73,Push-up,Feb,0.0
74,Push-up,Mar,0.0
75,Push-up,Apr,0.0
76,Push-up,May,0.0
77,Push-up,Jun,0.0
78,Push-up,Jul,0.0
79,Push-up,Aug,0.0
80,Push-up,Sep,45.0
81,Push-up,Oct,28.0
82,Push-up,Nov,34.0
83,Push-up,Dec,0.0
84,Squats,Jan,0.0
85,Squats,Feb,0.0
86,Squats,Mar,0.0
87,Squats,Apr,0.0
88,Squats,May,0.0
89,Squats,Jun,0.0
90,Squats,Jul,0.0
91,Squats,Aug,0.0
92,Squats,Sep,68.0
93,Squats,Oct,73.0
94,Squats,Nov,58.0
95,Squats,Dec,0.0
